ID,Level,Level Name,Name,Name En,Parent ID,Postal Code,Create Time,Modify Time
1,1,province,กระบี่,KRABI,0,81120,2019-12-24T03:49:36,2019-12-24T03:49:36
2,2,district,อ.เกาะลันตา,Ko Lanta,1,81120,2019-12-24T03:49:36,2019-12-24T03:49:36
3,3,sub-district,ต.เกาะกลาง,Ko Klang,2,81120,2019-12-24T03:49:36,2019-12-24T03:49:36
4,3,sub-district,ต.เกาะลันตาน้อย,Ko Lanta Noi,2,81150,2019-12-24T03:49:36,2019-12-24T03:49:36
5,3,sub-district,ต.เกาะลันตาใหญ่,Ko Lanta Yai,2,81150,2019-12-24T03:49:37,2019-12-24T03:49:37
6,3,sub-district,ต.คลองยาง,Khlong Yang,2,81120,2019-12-24T03:49:37,2019-12-24T03:49:37
7,3,sub-district,ต.ศาลาด่าน,Sala Dan,2,81150,2019-12-24T03:49:37,2019-12-24T03:49:37
8,2,district,อ.เขาพนม,Khao Phanom,1,81140,2019-12-24T03:49:37,2019-12-24T03:49:37
9,3,sub-district,ต.เขาดิน,Khao Din,8,81140,2019-12-24T03:49:37,2019-12-24T03:49:37
10,3,sub-district,ต.เขาพนม,Khao Phanom,8,81140,2019-12-24T03:49:37,2019-12-24T03:49:37
11,3,sub-district,ต.โคกหาร,Khok Han,8,80240,2019-12-24T03:49:37,2019-12-24T03:49:37
12,3,sub-district,ต.พรุเตียว,Phru Tiao,8,81140,2019-12-24T03:49:37,2019-12-24T03:49:37
13,3,sub-district,ต.สินปุน,Sin Pun,8,80240,2019-12-24T03:49:37,2019-12-24T03:49:37
14,3,sub-district,ต.หน้าเขา,Na Khao,8,81140,2019-12-24T03:49:37,2019-12-24T03:49:37
15,2,district,อ.คลองท่อม,Khlong Thom,1,81120,2019-12-24T03:49:37,2019-12-24T03:49:37
16,3,sub-district,ต.คลองท่อมใต้,Khlong Thom Tai,15,81120,2019-12-24T03:49:37,2019-12-24T03:49:37
17,3,sub-district,ต.คลองท่อมเหนือ,Khlong Thom Nuea,15,81120,2019-12-24T03:49:37,2019-12-24T03:49:37
